Model Name,Color,Storage,SKU Code,Product Price,Original Price,Financing Option,Badge,Offers,Product Rating,Number of Ratings,Stock Status,Product URL
Bespoke 3-Door Upper Panel,light gray,Default,RA-F18DU3QL/AA,Not Available,Not Available,Not Applicable,None,None,3.4,12,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-3-door-upper-panel-18-cu-ft-light-gray-ra-f18du3ql-aa/
Bespoke 3-Door Upper Panel,pale turquoise,Default,RA-F18DU3CM/AA,Not Available,Not Available,Not Applicable,None,None,3.4,12,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-3-door-upper-panel-18-cu-ft-blue-ra-f18du3cm-aa/
Bespoke 3-Door Upper Panel,gray,Default,RA-F18DU331/AA,Not Available,Not Available,Not Applicable,None,None,3.4,12,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-3-door-upper-panel-18-cu-ft-gray-ra-f18du331-aa/
Bespoke 3-Door Upper Panel,cloud navy,Default,RA-F18DU3QN/AA,Not Available,Not Available,Not Applicable,None,None,3.4,12,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-3-door-upper-panel-18-cu-ft-cloud-navy-ra-f18du3qn-aa/
Bespoke 3-Door Upper Panel,mocha gray,Default,RA-F18DU333/AA,Not Available,Not Available,Not Applicable,None,None,3.4,12,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-3-door-upper-panel-18-cu-ft-mocha-gray-ra-f18du333-aa/
Bespoke 3-Door Upper Panel,green,Default,RA-F18DU3QG/AA,Not Available,Not Available,Not Applicable,None,None,3.4,12,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-3-door-upper-panel-18-cu-ft-green-ra-f18du3qg-aa/
Bespoke 3-Door Upper Panel,phantom black,Default,RA-F18DU3MT/AA,Not Available,Not Available,Not Applicable,None,None,3.4,12,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-3-door-upper-panel-18-cu-ft-black-ra-f18du3mt-aa/
Bespoke 4-Door Upper Panel,pink,Default,RA-F18DU4P0/AA,Not Available,Not Available,Not Applicable,None,None,3.7,106,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-4-door-upper-panel-18-cu-ft-pink-ra-f18du4p0-aa/
Bespoke 4-Door Upper Panel,orange,Default,RA-F18DU4CH/AA,Not Available,Not Available,Not Applicable,None,None,3.7,106,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-4-door-upper-panel-18-cu-ft-orange-ra-f18du4ch-aa/
Bespoke 4-Door Upper Panel,silver(frame)/yellow/yellow,Default,RA-F18DU4C0/AA,Not Available,Not Available,Not Applicable,None,None,3.7,106,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-4-door-upper-panel-18-cu-ft-yellow-ra-f18du4c0-aa/
