Model Name,Color,Storage,SKU Code,Product Price,Original Price,Financing Option,Badge,Offers,Product Rating,Number of Ratings,Stock Status,Product URL
"Bespoke AI Laundry

All-in-One Combo

 

Dial Screen",white,6.1 cu.ft.,WD80H53BHWAC,"$2,399.99",Not Available,From $100.00/mo for 24 mos,New,None,4.8,152,In Stock,https://www.samsung.com/ca/laundry/washer-dryer-combo/wd80h27-25kg-plus-18kg-white-wd80h53bhwac/
5.2 Cu.Ft. Washer and 7.5 Cu.Ft. Dryer with Steam Wash and ...,white,Default,F-6300WNEW,Not Available,Not Available,Not Applicable,None,None,4.8,3480,In Stock,https://www.samsung.com/ca/laundry/washing-machines/wf6300b-5-2-cu-ft-white-dv6300b-dryer-multi-steam-steam-sanitize-flexible-installation-7-5-cu-ft-white-f-6300wnew/
6.1 Cu.Ft. Bespoke Washer and 7.6 Cu.Ft. Bespoke Dryer,Default,Default,SAMS-8500194,"$2,899.98",Not Available,Not Applicable,None,None,4.8,50,In Stock,https://www.samsung.com/ca/laundry/washing-machines/wf90f27-front-loading-ai-home-ai-optiwash-plus-ultra-capacity-6-1-cu-ft-gray-dv90f27-dryer-ai-home-ai-optidry-plus-bedding-7-6-cu-ft-dark-gray-f-wf90bespoke/
5.3 Cu.Ft.Washer and 7.4 Cu.Ft. Dryer 3500 Series Smart Lau...,white,Default,F-3500WNEW,Not Available,Not Available,Not Applicable,None,None,4.3,245,In Stock,https://www.samsung.com/ca/laundry/washing-machines/5-3-cu--ft--3505-series-smart-top-load-washer-with-smartthings-wi-fi-f-3500wnew/
6.0 Cu.Ft. Top Load Washer and 7.4 Cu.Ft. Dryer with Steam,black,Default,F-5550VNEW,"$1,899.98",Not Available,Not Applicable,None,None,4.7,647,In Stock,https://www.samsung.com/ca/laundry/washing-machines/wa5500d-top-load-large-capacity-super-speed-6-cu-ft-black-dv7000r-smartthings-7-4-cu-ft-f-5550vnew/
6.3 Cu.Ft. Top Load Washer and 7.5 Cu.Ft. Dryer with Steam ...,Default,7.4 cu.ft.,F-7300ENEW,Not Available,Not Available,Not Applicable,None,None,4.6,537,In Stock,https://www.samsung.com/ca/laundry/washing-machines/7300-series-smart-top-load-washer-with-superspeed-6-3-cu-ft-light-gray-dve7300a-7-4-cu-ft-ivory-white-f-7300enew/
"Bespoke AI Laundry Combo

All-in-One Vented Combo

 

6.1 cu. ft",black,6.1 cu.ft.,WD90F53AVBAC,"$2,599.99",Not Available,From $108.33/mo for 24 mos,None,None,4.7,1463,In Stock,https://www.samsung.com/ca/laundry/washer-dryer-combo/wd90f27-washer-dryer-combo-all-in-one-vented-combo-ultra-capacity-with-super-speed-simple-swap-6-1-cu-ft-black-wd90f53avbac/
5.3 cu.ft 500 Series Laundry Hub with Auto Dispenser,black,5.3 cu.ft,WH46DBH550EVAC,Not Available,Not Available,Not Applicable,None,None,4.4,55,In Stock,https://www.samsung.com/ca/laundry/washer-dryer-combo/wh9000d-washer-dryer-combo-laundry-hub-bespoke-design-ultra-capacity-ai-optiwash-ai-optimal-dry-5-3-cu-ft-black-wh46dbh550evac/
5.3 cu.ft 100 Series Laundry Hub with Space-saving design.,black,5.3 cu.ft,WH46DBH100EVAC,Not Available,Not Available,Not Applicable,None,None,5,1,In Stock,https://www.samsung.com/ca/laundry/washer-dryer-combo/wh9000d-washer-dryer-combo-laundry-hub-bespoke-design-ultra-capacity-ai-optiwash-ai-optimal-dry-5-3-cu-ft-black-wh46dbh100evac/
5.3 cu.ft 100 Series Laundry Hub with Space-saving design.,white,5.3 cu.ft,WH46DBH100EWAC,Not Available,Not Available,Not Applicable,None,None,5,1,In Stock,https://www.samsung.com/ca/laundry/washer-dryer-combo/wh9000d-washer-dryer-combo-laundry-hub-bespoke-design-ultra-capacity-ai-optiwash-ai-optimal-dry-5-3-cu-ft-white-wh46dbh100ewac/
6.0 cu.ft. 5500 Series Top Load Washer with SuperSpeed,black,6 cu.ft.,WA52DG5500AVUS,$949.99,Not Available,From $30.65/mo for 36 mos,None,None,4.7,647,In Stock,https://www.samsung.com/ca/laundry/washing-machines/wa5500d-top-load-large-capacity-super-speed-6-cu-ft-black-wa52dg5500avus/
6.3 cu.ft. 7300 Series Smart Top Load Washer with SuperSpee...,light gray,6.3 cu.ft.,WA55A7300AE/US,Not Available,Not Available,Not Applicable,None,None,4.6,537,In Stock,https://www.samsung.com/ca/laundry/washing-machines/7300-series-smart-top-load-washer-with-superspeed-6-3-cu-ft-light-gray-wa55a7300ae-us/
7.4 cu.ft. 7300 Smart Top Load Dryer with Steam Sanitize,ivory white,7.4 cu.ft.,DVE55A7300E/AC,$949.99,Not Available,From $30.65/mo for 36 mos,None,None,4.7,18,In Stock,https://www.samsung.com/ca/laundry/dryers/dve7300a-7-4-cu-ft-ivory-white-dve55a7300e-ac/
